,"SARIMAX(4,1,2)(0,0,0,48) Predictions",VAR(55),AR(55),Test_Sample
2016-12-30 00:00:00,0.0,0.0,6.501887950409353,0.0
2016-12-30 00:30:00,0.0,0.0,10.183240028338222,0.0
2016-12-30 01:00:00,0.0,0.0,11.223496827779227,0.0
2016-12-30 01:30:00,0.0,0.0,10.068674565411662,0.0
2016-12-30 02:00:00,0.0,0.0,6.786937288277622,0.0
2016-12-30 02:30:00,0.0,0.0,2.393019416366723,0.0
2016-12-30 03:00:00,0.0,0.0,0.0,0.0
2016-12-30 03:30:00,0.0,0.0,0.0,0.0
2016-12-30 04:00:00,0.0,0.0,0.0,0.0
2016-12-30 04:30:00,0.0,0.0,0.0,0.0
2016-12-30 05:00:00,0.0,0.0,0.0,0.0
2016-12-30 05:30:00,0.0,0.0,0.0,0.0
2016-12-30 06:00:00,0.0,0.0,3.771526483452504,0.0
2016-12-30 06:30:00,0.0,0.0,20.84895208636941,0.0
2016-12-30 07:00:00,19.158251200552414,27.52538058316214,46.347415945716435,0.0
2016-12-30 07:30:00,23.057875848879135,72.72956675769647,83.42195886175246,0.0
2016-12-30 08:00:00,49.735501663351585,129.56295277546073,132.23651319575703,62.0
2016-12-30 08:30:00,83.82484291512635,197.44348975900482,191.12866519206713,151.0
2016-12-30 09:00:00,110.535515370619,272.71663353301693,256.0696876839955,244.0
2016-12-30 09:30:00,144.52194234784497,341.7109710822231,323.42263118825946,330.0
2016-12-30 10:00:00,201.5956575015222,403.0394191147265,388.7643034034534,407.0
2016-12-30 10:30:00,235.4930870427068,454.42130988492835,448.1881941581754,372.0
2016-12-30 11:00:00,262.3077304669154,491.5338549215011,497.16075107992407,524.0
2016-12-30 11:30:00,265.8097835552986,511.2812616280374,531.9840351795641,450.0
2016-12-30 12:00:00,292.6848657508662,523.0891252657102,551.4334403412427,580.0
2016-12-30 12:30:00,296.1124635674613,527.9269474047765,555.7649539586337,469.0
2016-12-30 13:00:00,292.7348506913446,518.7622142144563,544.7781316642494,442.0
2016-12-30 13:30:00,296.09192523671976,501.2705299219758,523.2153025957484,243.0
2016-12-30 14:00:00,292.7774787484927,475.98326398176187,491.7097306068561,111.0
2016-12-30 14:30:00,265.7517023147027,436.39646572284437,447.2134445565894,113.0
2016-12-30 15:00:00,262.50031968941533,382.51561568586203,392.2103799565183,138.0
2016-12-30 15:30:00,235.40905730707783,316.522814142176,330.3380522365701,110.0
2016-12-30 16:00:00,232.22017741022285,245.01884928480746,263.1775207291574,78.0
2016-12-30 16:30:00,205.06522341752412,165.5024389278783,195.96935691447175,47.0
2016-12-30 17:00:00,171.62284978499918,94.64796208918969,136.1270915368911,18.0
2016-12-30 17:30:00,144.40575334964012,41.38074182299657,87.1721348903291,0.0
2016-12-30 18:00:00,141.33926375980587,17.33330159777305,50.616518054186734,0.0
2016-12-30 18:30:00,144.3765925844332,10.590337165971679,25.35870867475972,0.0
2016-12-30 19:00:00,141.36976791953953,8.125172496309954,9.676595954013797,0.0
2016-12-30 19:30:00,114.03246873953577,8.62087173231273,1.5275732433593436,0.0
2016-12-30 20:00:00,0.0,0.0,0.0,0.0
2016-12-30 20:30:00,0.0,0.0,0.0,0.0
2016-12-30 21:00:00,0.0,0.0,3.278280598443283,0.0
2016-12-30 21:30:00,0.0,0.0,9.118984868684505,0.0
2016-12-30 22:00:00,80.82617209458112,3.7955127384246676,16.02449145890219,0.0
2016-12-30 22:30:00,83.63284064546953,13.349683710464149,23.155636383154604,0.0
2016-12-30 23:00:00,80.85379219543262,20.724407423292593,29.795212726648302,0.0
2016-12-30 23:30:00,83.60564621527278,23.79183253494651,35.30197024655167,0.0
2016-12-31 00:00:00,80.88083896612824,21.4972543312523,39.16212933380175,0.0
2016-12-31 00:30:00,83.57895646038426,19.549595861073744,40.79808959355909,0.0
2016-12-31 01:00:00,80.90733748982069,16.995036482573557,39.864219726776085,0.0
2016-12-31 01:30:00,83.5527722206627,12.607646539734993,36.41635717929681,0.0
2016-12-31 02:00:00,111.24848001555651,4.656066696592606,30.801018317395126,0.0
2016-12-31 02:30:00,0.0,0.0,23.68841551896621,0.0
2016-12-31 03:00:00,0.0,0.0,16.107748669871143,0.0
2016-12-31 03:30:00,0.0,0.0,9.20788124343577,0.0
2016-12-31 04:00:00,0.0,0.0,4.181175972163654,0.0
2016-12-31 04:30:00,0.0,0.0,2.3195256632264263,0.0
2016-12-31 05:00:00,0.0,0.0,4.927639322216958,0.0
2016-12-31 05:30:00,0.0,0.0,13.293308952317577,0.0
2016-12-31 06:00:00,0.0,0.0,28.591204404661767,0.0
2016-12-31 06:30:00,113.74441563808287,19.1004475771678,51.789584851232256,0.0
2016-12-31 07:00:00,141.68602783800105,52.07901954635986,83.40879352931411,0.0
2016-12-31 07:30:00,144.03630596852736,96.53117969261486,123.38354478156803,0.0
2016-12-31 08:00:00,141.7090842337915,152.8149805926554,170.85090182731187,19.0
2016-12-31 08:30:00,174.32865045891515,213.69201197783806,224.1332806870967,49.0
2016-12-31 09:00:00,202.36203681450797,278.2082048577906,280.8153270715517,81.0
2016-12-31 09:30:00,234.9366137192149,339.03102284526915,338.0330632316469,112.0
2016-12-31 10:00:00,263.0145478715769,394.1550795371563,392.6714402127084,140.0
2016-12-31 10:30:00,295.54501383513445,439.28890053604897,441.6909559424929,165.0
2016-12-31 11:00:00,353.9817994131488,472.2562338595776,482.3930485341863,184.0
2016-12-31 11:30:00,386.46901564893096,494.11953913410906,512.6083290705462,199.0
