,Variables,Importance
0,Cloud Type,0.02949594269883348
1,Dew Point,0.02673842929829675
2,Surface Albedo,0.02945099963582058
3,Wind Speed,0.05605967055933822
4,Precipitable Water,0.02182375821825451
5,Wind Direction,0.03827996791093786
6,Relative Humidity,0.5503236763723047
7,Temperature,0.2202328304327584
8,Pressure,0.027594724873455417
